idna_subject,checker_type,destination,tested_at
ena-native-ads4.com,AVAILABILITY,origin.list,2022-12-07 05:25:29.364967
compulsivehemisphere.com,AVAILABILITY,origin.list,2022-12-07 05:25:29.363390
promobagus.com,AVAILABILITY,origin.list,2022-12-07 05:25:30.548723
d824d7f5cbcb0e00.com,AVAILABILITY,origin.list,2022-12-07 05:25:30.739542
mediab.uy,AVAILABILITY,origin.list,2022-12-07 05:25:31.117833
ihqfiimrbcf.com,AVAILABILITY,origin.list,2022-12-07 05:25:31.169209
nvqonvfylkxdjc.com,AVAILABILITY,origin.list,2022-12-07 05:25:42.198462
lsgqlgoc.com,AVAILABILITY,origin.list,2022-12-07 05:25:47.245016
oardjnay.com,AVAILABILITY,origin.list,2022-12-07 05:25:47.551724
pvwtkxcpsrcsd.com,AVAILABILITY,origin.list,2022-12-07 05:25:47.779472
cfs.u-ad.info,AVAILABILITY,origin.list,2022-12-07 05:25:48.297298
.gif,AVAILABILITY,origin.list,2022-12-07 05:25:48.816205
sekaneemits.com,AVAILABILITY,origin.list,2022-12-07 05:25:51.599122
filebanner.com,AVAILABILITY,origin.list,2022-12-07 05:25:51.687598
p02.notifa.info,AVAILABILITY,origin.list,2022-12-07 05:25:51.872073
p01.notifa.info,AVAILABILITY,origin.list,2022-12-07 05:25:51.928537
p03.notifa.info,AVAILABILITY,origin.list,2022-12-07 05:25:51.930244
1b969cef84d93b43.com,AVAILABILITY,origin.list,2022-12-07 05:25:52.507028
d01.notifa.info,AVAILABILITY,origin.list,2022-12-07 05:25:52.717067
9icmzvn6.website,AVAILABILITY,origin.list,2022-12-07 05:25:52.849804
cea9d3d4f74fb831.com,AVAILABILITY,origin.list,2022-12-07 05:25:52.883692
p05.notifa.info,AVAILABILITY,origin.list,2022-12-07 05:25:52.970929
p04.notifa.info,AVAILABILITY,origin.list,2022-12-07 05:25:53.439053
6631f33cf2a1032b.com,AVAILABILITY,origin.list,2022-12-07 05:25:53.470270
1486050000.rsc.cdn77.org,AVAILABILITY,origin.list,2022-12-07 05:25:53.807720
995db2642d3d852b.com,AVAILABILITY,origin.list,2022-12-07 05:25:53.863554
iklantop.net,AVAILABILITY,origin.list,2022-12-07 05:25:54.251924
q1xyxm89.com,AVAILABILITY,origin.list,2022-12-07 05:25:54.819589
s2pops.club,AVAILABILITY,origin.list,2022-12-07 05:25:54.881362
l9tdhe6.com,AVAILABILITY,origin.list,2022-12-07 05:25:55.048199
weblogiklan.com,AVAILABILITY,origin.list,2022-12-07 05:25:55.188621
replase.ml,AVAILABILITY,origin.list,2022-12-07 05:25:55.287180
trackdan.com,AVAILABILITY,origin.list,2022-12-07 05:25:56.259859
sebar.idblognetwork.com,AVAILABILITY,origin.list,2022-12-07 05:25:56.599859
2.0],AVAILABILITY,origin.list,2022-12-07 05:25:56.661652
!,AVAILABILITY,origin.list,2022-12-07 05:25:56.693735
[adblock,AVAILABILITY,origin.list,2022-12-07 05:25:56.973893
tracker.lazada.co.id,AVAILABILITY,origin.list,2022-12-07 05:25:57.116658
window-close.cf,AVAILABILITY,origin.list,2022-12-07 05:25:57.852184
||188affiliates.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:25:58.185426
popunderjs.club,AVAILABILITY,origin.list,2022-12-07 05:25:58.400369
***,AVAILABILITY,origin.list,2022-12-07 05:25:58.766920
may,AVAILABILITY,origin.list,2022-12-07 05:25:58.939593
202005240921,AVAILABILITY,origin.list,2022-12-07 05:25:59.456538
||2go7v1nes8.com^,AVAILABILITY,origin.list,2022-12-07 05:25:59.770033
09:21,AVAILABILITY,origin.list,2022-12-07 05:25:59.979429
version:,AVAILABILITY,origin.list,2022-12-07 05:26:00.912723
track.spzan.com,AVAILABILITY,origin.list,2022-12-07 05:26:01.198655
----------------------!,AVAILABILITY,origin.list,2022-12-07 05:26:01.204181
||a63t9o1azf.com^$popup,AVAILABILITY,origin.list,2022-12-07 05:26:01.728796
||a.brand.ad^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:01.820356
"||05ee3a24ed11df058c8.com^$popup,third-party",AVAILABILITY,origin.list,2022-12-07 05:26:02.411176
----------------------,AVAILABILITY,origin.list,2022-12-07 05:26:02.593427
"||admarketplace.net^$popup,third-party",AVAILABILITY,origin.list,2022-12-07 05:26:02.922139
last,AVAILABILITY,origin.list,2022-12-07 05:26:03.560883
||34667c8ece5.com^,AVAILABILITY,origin.list,2022-12-07 05:26:03.937030
"||108.168.231.179^$popup,third-party",AVAILABILITY,origin.list,2022-12-07 05:26:04.334194
||adbsys.icu^$popup,AVAILABILITY,origin.list,2022-12-07 05:26:04.463898
abpindo:src/advert/adservers.txt,AVAILABILITY,origin.list,2022-12-07 05:26:04.660577
||9eb10b7a3d04a.com^$popup,AVAILABILITY,origin.list,2022-12-07 05:26:05.248365
||accesstrade.co.id^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:06.044416
||9icmzvn6.website^$popup,AVAILABILITY,origin.list,2022-12-07 05:26:06.449590
||adaranth.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:07.137389
||64p3am9x95ct.com^$popup,AVAILABILITY,origin.list,2022-12-07 05:26:07.804272
"||abrts.pro^$popup,third-party",AVAILABILITY,origin.list,2022-12-07 05:26:08.603329
||adflazz.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:09.361628
||addesigner.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:09.926639
||admp.io^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:09.992061
||adpop-1.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:10.886703
||ads-link.net^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:11.462920
||adpstatic.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:12.304740
||adscpm.site^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:12.841219
"||adnety.com^$popup,third-party",AVAILABILITY,origin.list,2022-12-07 05:26:13.380252
||adshost.site^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:14.117100
||adslop.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:14.508166
||adreviewcamp.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:15.886333
||adsbingo.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:16.148245
utc,AVAILABILITY,origin.list,2022-12-07 05:26:16.729997
tracker.beritagar.id,AVAILABILITY,origin.list,2022-12-07 05:26:17.601771
browsertelemetry.tk,AVAILABILITY,origin.list,2022-12-07 05:26:17.765275
||adreach.co^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:17.989152
||ads.indosatooredoo.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:18.004289
||adplus.co.id^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:18.998271
||aj1052.online^$popup,AVAILABILITY,origin.list,2022-12-07 05:26:19.930991
||ajangiklangratis.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:20.588293
"||afbcashidr.com^$popup,third-party",AVAILABILITY,origin.list,2022-12-07 05:26:20.613982
www.seyevjpcjkcnka.com,AVAILABILITY,origin.list,2022-12-07 05:26:21.259910
csf.uzone.id,AVAILABILITY,origin.list,2022-12-07 05:26:21.550669
||adtimeselaras.com^$popup,AVAILABILITY,origin.list,2022-12-07 05:26:21.706131
"||azxsd.pro^$popup,third-party",AVAILABILITY,origin.list,2022-12-07 05:26:22.264240
||adskom.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:22.393517
www.bekdbxdhrffnj.com,AVAILABILITY,origin.list,2022-12-07 05:26:23.385148
||ahcnxuepput.com^$popup,AVAILABILITY,origin.list,2022-12-07 05:26:23.456258
||adtimeselaras.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:24.195199
||badskies.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:24.292719
cfs2.uzone.id,AVAILABILITY,origin.list,2022-12-07 05:26:24.858236
||aopxnvrugx.com^$popup,AVAILABILITY,origin.list,2022-12-07 05:26:25.382356
"||ampclicks.com^$popup,third-party",AVAILABILITY,origin.list,2022-12-07 05:26:25.531531
||alertpay.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:25.995531
||anekaiklan.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:26.012211
"||axzsd.pro^$popup,third-party",AVAILABILITY,origin.list,2022-12-07 05:26:26.145803
||bellaads.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:26.257227
||auredzeon.com^$popup,AVAILABILITY,origin.list,2022-12-07 05:26:26.482580
||baliadv.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:28.586494
||chqspuonctkgz.com^$popup,AVAILABILITY,origin.list,2022-12-07 05:26:29.263262
cfs.uzone.id,AVAILABILITY,origin.list,2022-12-07 05:26:29.302456
||click.eclk.club^$popup,AVAILABILITY,origin.list,2022-12-07 05:26:29.405479
||chidsimp.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:29.452583
||d24afgsm39csxt.cloudfront.net^,AVAILABILITY,origin.list,2022-12-07 05:26:31.517881
||d0p21g2fep.com^,AVAILABILITY,origin.list,2022-12-07 05:26:31.923426
||clickmedia.co.id^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:32.489699
||bcajjtbzmdrl.com^$popup,AVAILABILITY,origin.list,2022-12-07 05:26:32.704365
||d2405b0jymm2dk.cloudfront.net^,AVAILABILITY,origin.list,2022-12-07 05:26:32.799103
||craydark.pw^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:34.023836
"||cjsab.com^$popup,third-party",AVAILABILITY,origin.list,2022-12-07 05:26:35.073255
||d72gb9oukw3j.com^$popup,AVAILABILITY,origin.list,2022-12-07 05:26:35.121110
||clicks.pipaffiliates.com^,AVAILABILITY,origin.list,2022-12-07 05:26:35.332755
||dewsburg.info^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:35.543667
advert,AVAILABILITY,origin.list,2022-12-07 05:26:36.886184
||dairouzy.net^$popup,AVAILABILITY,origin.list,2022-12-07 05:26:37.542196
||d2jn12r3o7an7z.cloudfront.net^,AVAILABILITY,origin.list,2022-12-07 05:26:37.855231
||digiads.co.id^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:37.986274
||dalj98ktasppa.cloudfront.net^,AVAILABILITY,origin.list,2022-12-07 05:26:38.799557
||d3t5ngjixpjdho.cloudfront.net^,AVAILABILITY,origin.list,2022-12-07 05:26:39.811221
||daero.pw^$popup,AVAILABILITY,origin.list,2022-12-07 05:26:40.600678
||eclkmpsa.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:40.876034
"||dafa.io^$popup,third-party",AVAILABILITY,origin.list,2022-12-07 05:26:41.325197
||eclkmpbn.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:41.613774
||e7393e33565ce805.com^$popup,AVAILABILITY,origin.list,2022-12-07 05:26:42.502332
"||dearerfonder.info^$popup,third-party",AVAILABILITY,origin.list,2022-12-07 05:26:43.069827
||dzbx8qv1at614.cloudfront.net^,AVAILABILITY,origin.list,2022-12-07 05:26:43.272493
||edomz.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:43.696879
||digiads.co.id^$popup,AVAILABILITY,origin.list,2022-12-07 05:26:43.905272
replase.gq,AVAILABILITY,origin.list,2022-12-07 05:26:44.922618
||domnovrek.com^$third-party,AVAILABILITY,origin.list,2022-12-07 05:26:45.972116
