idna_subject,checker_type,destination,source,tested_at,session_id
108.168.231.179,AVAILABILITY,origin.list,origin.list,2022-04-19 05:32:38.336967,9bc39253cdc740ffc2c124c3
188affiliates.com,AVAILABILITY,origin.list,origin.list,2022-04-19 05:32:42.217874,9bc39253cdc740ffc2c124c3
34667c8ece5.com,AVAILABILITY,origin.list,origin.list,2022-04-19 05:32:43.036145,9bc39253cdc740ffc2c124c3
2go7v1nes8.com,AVAILABILITY,origin.list,origin.list,2022-04-19 05:32:43.037856,9bc39253cdc740ffc2c124c3
05ee3a24ed11df058c8.com,AVAILABILITY,origin.list,origin.list,2022-04-19 05:32:43.467908,9bc39253cdc740ffc2c124c3
64p3am9x95ct.com,AVAILABILITY,origin.list,origin.list,2022-04-19 05:32:43.561793,9bc39253cdc740ffc2c124c3
964aa09226.866e69bc8e.com,AVAILABILITY,origin.list,origin.list,2022-04-19 05:32:46.280375,9bc39253cdc740ffc2c124c3
9eb10b7a3d04a.com,AVAILABILITY,origin.list,origin.list,2022-04-19 05:32:47.332332,9bc39253cdc740ffc2c124c3
98e22a373e.com,AVAILABILITY,origin.list,origin.list,2022-04-19 05:32:47.629305,9bc39253cdc740ffc2c124c3
a.brand.ad,AVAILABILITY,origin.list,origin.list,2022-04-19 05:32:48.901386,9bc39253cdc740ffc2c124c3
a937a51544.85e954452d.com,AVAILABILITY,origin.list,origin.list,2022-04-19 05:32:49.644056,9bc39253cdc740ffc2c124c3
a63t9o1azf.com,AVAILABILITY,origin.list,origin.list,2022-04-19 05:32:49.801007,9bc39253cdc740ffc2c124c3
abrts.pro,AVAILABILITY,origin.list,origin.list,2022-04-19 05:32:51.801889,9bc39253cdc740ffc2c124c3
aa9271e4a2.4d4ac172b7.com,AVAILABILITY,origin.list,origin.list,2022-04-19 05:32:52.083967,9bc39253cdc740ffc2c124c3
ad-loupe.com,AVAILABILITY,origin.list,origin.list,2022-04-19 05:32:52.500026,9bc39253cdc740ffc2c124c3
adbsys.icu,AVAILABILITY,origin.list,origin.list,2022-04-19 05:32:53.695710,9bc39253cdc740ffc2c124c3
accesstrade.co.id,AVAILABILITY,origin.list,origin.list,2022-04-19 05:32:54.788544,9bc39253cdc740ffc2c124c3
addesigner.com,AVAILABILITY,origin.list,origin.list,2022-04-19 05:32:55.457402,9bc39253cdc740ffc2c124c3
